real,imag
1.4305020747680008e-01,0.0000000000000000e+00
1.8569497925232019e+00,0.0000000000000000e+00
3.0252665483898200e-01,0.0000000000000000e+00
1.6974733451610213e+00,0.0000000000000000e+00
3.4411902406534167e-01,0.0000000000000000e+00
1.6558809759346633e+00,0.0000000000000000e+00
4.6617701258124283e-01,0.0000000000000000e+00
4.8039028207867851e-01,0.0000000000000000e+00
1.5338229874187623e+00,0.0000000000000000e+00
1.5196097179213215e+00,0.0000000000000000e+00
6.0230793931122073e-01,0.0000000000000000e+00
1.3976920606887737e+00,0.0000000000000000e+00
6.3179999335694303e-01,0.0000000000000000e+00
6.4503977366407950e-01,0.0000000000000000e+00
1.3682000066430646e+00,0.0000000000000000e+00
1.3549602263359222e+00,0.0000000000000000e+00
7.1109708104057523e-01,0.0000000000000000e+00
7.1819191532196835e-01,0.0000000000000000e+00
1.2889029189594265e+00,0.0000000000000000e+00
1.2818080846780271e+00,0.0000000000000000e+00
7.4564722655621973e-01,0.0000000000000000e+00
1.2543527734437894e+00,0.0000000000000000e+00
7.8477060769612883e-01,0.0000000000000000e+00
1.2152293923038699e+00,0.0000000000000000e+00
8.0532681525390704e-01,0.0000000000000000e+00
1.1946731847460905e+00,0.0000000000000000e+00
8.2642822615946487e-01,0.0000000000000000e+00
1.1735717738405433e+00,0.0000000000000000e+00
8.4748656358258145e-01,0.0000000000000000e+00
1.1525134364174212e+00,0.0000000000000000e+00
8.6715391565000977e-01,0.0000000000000000e+00
1.1328460843499850e+00,0.0000000000000000e+00
8.8222832009692165e-01,0.0000000000000000e+00
1.1177716799030843e+00,0.0000000000000000e+00
8.9464363161237814e-01,0.0000000000000000e+00
1.1053563683876244e+00,0.0000000000000000e+00
9.0986145859857470e-01,0.0000000000000000e+00
1.0901385414014280e+00,0.0000000000000000e+00
1.0797000729179227e+00,0.0000000000000000e+00
9.2029992708208785e-01,0.0000000000000000e+00
1.0718957827699118e+00,0.0000000000000000e+00
9.2810421723009795e-01,0.0000000000000000e+00
1.0609997949279506e+00,0.0000000000000000e+00
9.3900020507204895e-01,0.0000000000000000e+00
1.0538706602722097e+00,0.0000000000000000e+00
9.4612933972778446e-01,0.0000000000000000e+00
1.0487826270793175e+00,0.0000000000000000e+00
9.5121737292068254e-01,0.0000000000000000e+00
1.0412308183534895e+00,0.0000000000000000e+00
9.5876918164651703e-01,0.0000000000000000e+00
1.0363920246142746e+00,0.0000000000000000e+00
9.6360797538572829e-01,0.0000000000000000e+00
1.0330128511247281e+00,0.0000000000000000e+00
9.6698714887527815e-01,0.0000000000000000e+00
1.0278532497802131e+00,0.0000000000000000e+00
9.7214675021979491e-01,0.0000000000000000e+00
1.0245782259891438e+00,0.0000000000000000e+00
9.7542177401085306e-01,0.0000000000000000e+00
1.0223139580987444e+00,0.0000000000000000e+00
9.7768604190125386e-01,0.0000000000000000e+00
1.0188113597659458e+00,0.0000000000000000e+00
9.8118864023406172e-01,0.0000000000000000e+00
1.0165975576502309e+00,0.0000000000000000e+00
9.8340244234977403e-01,0.0000000000000000e+00
1.0150740701574485e+00,0.0000000000000000e+00
9.8492592984255223e-01,0.0000000000000000e+00
1.0127032206609314e+00,0.0000000000000000e+00
9.8729677933906579e-01,0.0000000000000000e+00
1.0112076058680561e+00,0.0000000000000000e+00
9.8879239413194375e-01,0.0000000000000000e+00
9.8981936545621962e-01,0.0000000000000000e+00
1.0101806345437709e+00,0.0000000000000000e+00
9.9142206983564007e-01,0.0000000000000000e+00
1.0085779301643631e+00,0.0000000000000000e+00
9.9243227799166200e-01,0.0000000000000000e+00
1.0075677220083490e+00,0.0000000000000000e+00
9.9312506651900412e-01,0.0000000000000000e+00
1.0068749334809894e+00,0.0000000000000000e+00
9.9420791633332584e-01,0.0000000000000000e+00
1.0057920836666774e+00,0.0000000000000000e+00
9.9489027141807684e-01,0.0000000000000000e+00
1.0051097285819264e+00,0.0000000000000000e+00
9.9535765764771977e-01,0.0000000000000000e+00
1.0046423423522777e+00,0.0000000000000000e+00
9.9608918305563332e-01,0.0000000000000000e+00
1.0039108169443709e+00,0.0000000000000000e+00
9.9655020730098032e-01,0.0000000000000000e+00
1.0034497926990245e+00,0.0000000000000000e+00
9.9686534690787398e-01,0.0000000000000000e+00
1.0031346530921257e+00,0.0000000000000000e+00
9.9735964297798407e-01,0.0000000000000000e+00
1.0026403570220224e+00,0.0000000000000000e+00
9.9767133298985011e-01,0.0000000000000000e+00
1.0023286670101468e+00,0.0000000000000000e+00
9.9788348112131853e-01,0.0000000000000000e+00
1.0021165188786749e+00,0.0000000000000000e+00
9.9821771543143967e-01,0.0000000000000000e+00
1.0017822845685551e+00,0.0000000000000000e+00
9.9842873888134731e-01,0.0000000000000000e+00
1.0015712611186525e+00,0.0000000000000000e+00
9.9857104907669136e-01,0.0000000000000000e+00
1.0014289509233165e+00,0.0000000000000000e+00
9.9879740880394241e-01,0.0000000000000000e+00
1.0012025911960527e+00,0.0000000000000000e+00
9.9894068018330884e-01,0.0000000000000000e+00
1.0010593198166911e+00,0.0000000000000000e+00
9.9903543454214860e-01,0.0000000000000000e+00
1.0009645654578549e+00,0.0000000000000000e+00
9.9918923171315610e-01,0.0000000000000000e+00
1.0008107682868497e+00,0.0000000000000000e+00
9.9928703178474365e-01,0.0000000000000000e+00
9.9934916233462268e-01,0.0000000000000000e+00
1.0007129682152518e+00,0.0000000000000000e+00
1.0006508376653733e+00,0.0000000000000000e+00
