real,imag
3.3166237041070339e+00,0.0000000000000000e+00
-1.3166237041070328e+00,0.0000000000000000e+00
2.7730670211720012e+00,0.0000000000000000e+00
-7.7306702117200898e-01,0.0000000000000000e+00
2.5672785082982017e+00,0.0000000000000000e+00
-5.6727850829819770e-01,0.0000000000000000e+00
2.1995430380551939e+00,0.0000000000000000e+00
-1.9954303805518434e-01,0.0000000000000000e+00
1.9787840039044100e+00,0.0000000000000000e+00
1.9595769571561261e+00,0.0000000000000000e+00
2.1215996095592285e-02,0.0000000000000000e+00
4.0423042843872027e-02,0.0000000000000000e+00
1.7491288443163664e+00,0.0000000000000000e+00
2.5087115568363050e-01,0.0000000000000000e+00
1.6491880141529844e+00,0.0000000000000000e+00
3.5081198584701273e-01,0.0000000000000000e+00
1.6065018951519476e+00,0.0000000000000000e+00
3.9349810484804876e-01,0.0000000000000000e+00
1.4641964539453627e+00,0.0000000000000000e+00
5.3580354605464175e-01,0.0000000000000000e+00
1.4054256090510446e+00,0.0000000000000000e+00
5.9457439094895148e-01,0.0000000000000000e+00
1.3806840754387986e+00,0.0000000000000000e+00
6.1931592456120299e-01,0.0000000000000000e+00
1.2913629772712993e+00,0.0000000000000000e+00
7.0863702272870266e-01,0.0000000000000000e+00
1.2512213105769208e+00,0.0000000000000000e+00
1.2426073331382039e+00,0.0000000000000000e+00
7.4877868942307813e-01,0.0000000000000000e+00
7.5739266686179685e-01,0.0000000000000000e+00
1.1856836139245399e+00,0.0000000000000000e+00
8.1431638607546220e-01,0.0000000000000000e+00
1.1576845070262076e+00,0.0000000000000000e+00
1.1566048069350474e+00,0.0000000000000000e+00
8.4231549297378838e-01,0.0000000000000000e+00
8.4339519306495925e-01,0.0000000000000000e+00
1.1198601300855526e+00,0.0000000000000000e+00
8.8013986991445492e-01,0.0000000000000000e+00
1.1020881972202379e+00,0.0000000000000000e+00
1.1004912477170141e+00,0.0000000000000000e+00
8.9791180277976468e-01,0.0000000000000000e+00
8.9950875228299088e-01,0.0000000000000000e+00
1.0781349234324082e+00,0.0000000000000000e+00
9.2186507656759165e-01,0.0000000000000000e+00
1.0670397214599083e+00,0.0000000000000000e+00
1.0648678349653229e+00,0.0000000000000000e+00
9.3296027854008523e-01,0.0000000000000000e+00
9.3513216503468877e-01,0.0000000000000000e+00
1.0513099814261591e+00,0.0000000000000000e+00
9.4869001857384616e-01,0.0000000000000000e+00
1.0442648407499251e+00,0.0000000000000000e+00
1.0422863158468414e+00,0.0000000000000000e+00
9.5573515925007757e-01,0.0000000000000000e+00
9.5771368415316005e-01,0.0000000000000000e+00
1.0338788423825482e+00,0.0000000000000000e+00
9.6612115761745232e-01,0.0000000000000000e+00
1.0293469162125122e+00,0.0000000000000000e+00
9.7065308378748894e-01,0.0000000000000000e+00
