H,errS,errT,timeS,timeT,tSample,timeLU,tMVS,tMVT,tMVLU,memS,memT,memLU
.5,1.9026562250093983e-08,0,366.2852990627289,0,670.1029736995697,1959.7538216114044,0.009536504745483398,0,6.384316682815552,2.48930112,0,352.27200000000005
.25 , 5.825234318065863e-06 , 0 , 837.9084384441376 , , 676.4424014091492 , 1837.0911855697632 , 0.02793254852294922, , 8.10929544766744,5.80836928,0,294.67199999999997
.125,0.0005216637994788397,0,1779.4514429569244,0,852.3086786270142,1550.4579627513885,0.050540030002593994,0,8.84450634320577,12.4465056,0,174.93211775999998
.0625,0.011847597780441584,0,3587.0204520225525,0,781.2074294090271,1142.5448379516602,0.11307189464569092,0,13.34663494427999,25.72277824,0,98.81970688000001

