real,imag
2.0845975584794804e+04,0.0000000000000000e+00
1.2258139500337226e+00,0.0000000000000000e+00
2.0845975584794804e+04,0.0000000000000000e+00
2.0844352566467704e+04,0.0000000000000000e+00
2.0841716927720056e+04,0.0000000000000000e+00
2.0838169954670848e+04,0.0000000000000000e+00
2.0833847955505218e+04,0.0000000000000000e+00
2.0828917022227281e+04,0.0000000000000000e+00
2.0823566647837659e+04,0.0000000000000000e+00
2.0818002444223483e+04,0.0000000000000000e+00
2.0812438240609408e+04,0.0000000000000000e+00
2.0807087866219827e+04,0.0000000000000000e+00
2.0789988124901171e+04,0.0000000000000000e+00
2.0791611135556988e+04,0.0000000000000000e+00
2.0794246761847091e+04,0.0000000000000000e+00
2.0797793718131299e+04,0.0000000000000000e+00
2.0802156932941889e+04,0.0000000000000000e+00
1.7177054186553531e+04,0.0000000000000000e+00
1.7176044883269104e+04,0.0000000000000000e+00
1.7174405863672077e+04,0.0000000000000000e+00
1.7172200114366286e+04,0.0000000000000000e+00
1.7169512401060587e+04,0.0000000000000000e+00
1.7166446011070184e+04,0.0000000000000000e+00
1.7163118784042497e+04,0.0000000000000000e+00
1.7159658583446490e+04,0.0000000000000000e+00
1.7156198382850540e+04,0.0000000000000000e+00
1.7142182191481639e+04,0.0000000000000000e+00
1.7143191482650062e+04,0.0000000000000000e+00
1.7144830482571819e+04,0.0000000000000000e+00
1.7147036205399043e+04,0.0000000000000000e+00
1.7152871155822824e+04,0.0000000000000000e+00
1.7149723886440428e+04,0.0000000000000000e+00
1.3498571370498084e+04,0.0000000000000000e+00
1.3498041731047819e+04,0.0000000000000000e+00
1.3497181643250855e+04,0.0000000000000000e+00
1.3496024159798806e+04,0.0000000000000000e+00
1.3494613762131779e+04,0.0000000000000000e+00
1.3493004651041034e+04,0.0000000000000000e+00
1.3491258663763452e+04,0.0000000000000000e+00
1.3489442897610912e+04,0.0000000000000000e+00
1.3480148294543182e+04,0.0000000000000000e+00
