p,err,sample,compr,discr
4.0000000000000000e+00,3.3294684332575415e-04,1.0364274422327677e+01,2.2243081728617349e+00,9.1323260068893433e+00
6.0000000000000000e+00,1.6372836343185721e-05,2.5502211809158325e+01,4.0169420242309570e+00,4.3125417073567711e+01
8.0000000000000000e+00,1.6881105694210599e-05,7.0084849238395691e+01,5.5534652471542358e+00,1.5712464380264282e+02
1.0000000000000000e+01,1.3044732256023552e-05,1.5320690925916037e+02,7.1517722209294634e+00,4.2080237877368927e+02
