H,gmres_err,niter,total_LU_time_s,total_HBS_time_s,sample_time_s,HBS_matvec_time_s,LU_matvec_time_s,total_LU_mem_GB,total_HBS_mem_GB,solve_time_HBS_s,solve_time_LU_est_s
0.25,2.8175179388438285e-09,9,772.023952960968,78.24402284622192,259.76119923591614,0.0053655743598937985,3.400659720102946,126.28799999999998,1.698351616,0.06402087211608887,30.605937480926514
0.125,6.5232547985342385e-06,19,714.4983258247375,200.79799032211304,242.54519081115723,0.01599177122116089,4.184354384740193,81.63498828799999,5.095054848,0.38704824447631836,79.50273331006368
0.0625,0.0010788614297790589,38,544.6987152099609,476.90807151794434,333.48204374313354,0.03724888563156128,5.564414421717326,47.8159872,11.888461312,1.9677073955535889,211.4477480252584
