H,gmres_err,niter,total_LU_time_s,total_HBS_time_s,sample_time_s,HBS_matvec_time_s,LU_matvec_time_s,total_LU_mem_GB,total_HBS_mem_GB,solve_time_HBS_s,solve_time_LU_est_s
0.25,0.0709369176162413,91,120.00195217132568,248.0404542684555,321.2152749300003,0.013390493392944337,3.0903627077738443,48.611459072,4.24587904,1.7505099773406982,281.2230064074198
0.125,0.10111505121690452,112,89.85067939758301,507.4190443754196,350.00416696071625,0.03434628248214722,5.464072227478027,28.816965632,11.039285504,5.820086240768433,611.9760894775391
0.0625,0.0859100653668899,149,50.26640701293945,1060.1624442338943,428.77383720874786,0.07707381248474121,7.2648468017578125,12.350128128,24.626098432,18.891945362091064,1082.462173461914
