real,imag
3.5599584038098762e+00,0.0000000000000000e+00
-1.5599584038098764e+00,0.0000000000000000e+00
2.9593073373637235e+00,0.0000000000000000e+00
-9.5930733736371654e-01,0.0000000000000000e+00
2.6849915573818803e+00,0.0000000000000000e+00
-6.8499155738188289e-01,0.0000000000000000e+00
2.2896367053702287e+00,0.0000000000000000e+00
-2.8963670537022462e-01,0.0000000000000000e+00
2.0603694899691098e+00,0.0000000000000000e+00
2.0301940851330831e+00,0.0000000000000000e+00
-6.0369489969109943e-02,0.0000000000000000e+00
-3.0194085133080487e-02,0.0000000000000000e+00
1.7884764170018972e+00,0.0000000000000000e+00
2.1152358299810473e-01,0.0000000000000000e+00
1.6979463555517775e+00,0.0000000000000000e+00
3.0205364444822569e-01,0.0000000000000000e+00
1.6298748607919411e+00,0.0000000000000000e+00
3.7012513920806778e-01,0.0000000000000000e+00
1.4820853473766877e+00,0.0000000000000000e+00
5.1791465262331349e-01,0.0000000000000000e+00
1.4267203619386817e+00,0.0000000000000000e+00
5.7327963806131843e-01,0.0000000000000000e+00
1.3921529589999893e+00,0.0000000000000000e+00
6.0784704100001319e-01,0.0000000000000000e+00
1.3001408807244932e+00,0.0000000000000000e+00
6.9985911927551581e-01,0.0000000000000000e+00
1.2609027099378887e+00,0.0000000000000000e+00
7.3909729006210623e-01,0.0000000000000000e+00
1.2486912180461354e+00,0.0000000000000000e+00
7.5130878195386774e-01,0.0000000000000000e+00
1.1903400178419066e+00,0.0000000000000000e+00
8.0965998215810275e-01,0.0000000000000000e+00
1.1624350741425356e+00,0.0000000000000000e+00
1.1600731479279340e+00,0.0000000000000000e+00
8.3756492585745967e-01,0.0000000000000000e+00
8.3992685207206996e-01,0.0000000000000000e+00
1.1225146833570994e+00,0.0000000000000000e+00
8.7748531664290952e-01,0.0000000000000000e+00
1.1041988665712641e+00,0.0000000000000000e+00
1.1030112753577961e+00,0.0000000000000000e+00
8.9580113342873724e-01,0.0000000000000000e+00
8.9698872464220469e-01,0.0000000000000000e+00
9.2024964018391597e-01,0.0000000000000000e+00
1.0797503598160891e+00,0.0000000000000000e+00
9.3159881074288908e-01,0.0000000000000000e+00
9.3369553115649440e-01,0.0000000000000000e+00
1.0684011892570986e+00,0.0000000000000000e+00
1.0663044688435055e+00,0.0000000000000000e+00
9.4764799623447638e-01,0.0000000000000000e+00
1.0523520037655325e+00,0.0000000000000000e+00
9.5481173441637246e-01,0.0000000000000000e+00
1.0451882655836320e+00,0.0000000000000000e+00
1.0431605837177254e+00,0.0000000000000000e+00
9.5683941628227875e-01,0.0000000000000000e+00
1.0345856011523380e+00,0.0000000000000000e+00
9.6541439884766211e-01,0.0000000000000000e+00
1.0299995987977886e+00,0.0000000000000000e+00
1.0283327002727418e+00,0.0000000000000000e+00
9.7000040120220810e-01,0.0000000000000000e+00
9.7166729972725663e-01,0.0000000000000000e+00
1.0229606988750306e+00,0.0000000000000000e+00
9.7703930112497406e-01,0.0000000000000000e+00
1.0199934314431374e+00,0.0000000000000000e+00
9.8000656855686163e-01,0.0000000000000000e+00
1.0187175924648606e+00,0.0000000000000000e+00
9.8128240753514384e-01,0.0000000000000000e+00
1.0153023099388370e+00,0.0000000000000000e+00
9.8469769006117136e-01,0.0000000000000000e+00
1.0133667930510235e+00,0.0000000000000000e+00
1.0124262406877966e+00,0.0000000000000000e+00
9.8663320694898193e-01,0.0000000000000000e+00
9.8757375931220381e-01,0.0000000000000000e+00
1.0102305004889602e+00,0.0000000000000000e+00
9.8976949951104687e-01,0.0000000000000000e+00
1.0089600893574171e+00,0.0000000000000000e+00
9.9103991064258956e-01,0.0000000000000000e+00
1.0082815504621310e+00,0.0000000000000000e+00
9.9171844953788035e-01,0.0000000000000000e+00
1.0068577554991867e+00,0.0000000000000000e+00
9.9314224450081723e-01,0.0000000000000000e+00
1.0060198212573972e+00,0.0000000000000000e+00
1.0055367069671670e+00,0.0000000000000000e+00
9.9398017874260924e-01,0.0000000000000000e+00
9.9446329303283321e-01,0.0000000000000000e+00
