Nslabs H ITERS err
3 0.25 7 5.032341936028104e-07
7 0.125 16 1.1179085757135735e-07
15 0.0625 33 2.2960919793452645e-07
31 0.03125 62 3.159758134226456e-07
63 0.015625 122 9.255208699326756e-08
